race_date,week_num,month
2026-03-01,1,3
2026-03-08,2,3
2026-03-15,3,3
2026-03-22,4,3
2026-03-29,5,3
2026-04-05,6,4
2026-04-12,7,4
2026-04-19,8,4
2026-04-26,9,4
2026-05-03,10,5
2026-05-10,11,5
2026-05-17,12,5
2026-05-24,13,5
2026-05-31,14,5
2026-06-07,15,6
2026-06-14,16,6
2026-06-21,17,6
2026-06-28,18,6
2026-07-05,19,7
2026-07-12,20,7
2026-07-19,21,7
2026-07-26,22,7
2026-08-02,23,8
2026-08-09,24,8
2026-08-16,25,8
2026-08-23,26,8
2026-08-30,27,8
2026-09-06,28,9
2026-09-13,29,9
2026-09-20,30,9
2026-09-27,31,9
2026-10-04,32,10
2026-10-11,33,10
2026-10-18,34,10
2026-10-25,35,10
2026-11-01,36,11
2026-11-08,37,11
2026-11-15,38,11
2026-11-22,39,11
2026-11-29,40,11
2026-12-06,41,12
