from,to,distance_km,transport_mode,emissions_kgCO2e
BAH,SAU,1256.1176947716008,air,8488.843381266479
BAH,JPN,8056.2390863087885,air,54444.0637452748
BAH,CHN,6830.500466761157,air,46160.5221543719
BAH,MIA,12196.817404708196,air,82426.09202101799
BAH,MON,4332.677394078209,air,29280.233829180535
BAH,CAN,10261.752030513893,air,69348.9202222129
BAH,ESP,4716.195359353089,air,31872.048238508178
BAH,MAD,5204.004409004243,air,35168.66179605067
BAH,GBR,5159.355775058307,air,34866.92632784404
BAH,HUN,3631.0757011660207,air,24538.809588479966
BAH,BEL,4641.891057215615,air,31369.899764663125
BAH,NED,4804.671996669383,air,32469.97335349169
BAH,MONZ,4244.005297911552,air,28680.98780328627
BAH,SIN,6318.8015588200915,air,42702.46093450618
BAH,USA_COT,12901.163172256547,air,87186.06071810974
BAH,USA_LVG,12937.21417520947,air,87429.6933960656
BAH,MEX,13990.301835026308,air,94546.45980110779
BAH,BRA,11801.327192261047,air,79753.36916530016
BAH,QAT,121.32707956664576,air,819.9284037113921
SAU,SIN,7337.906001717776,air,49589.56875960874
SAU,USA_COT,12639.957594633515,air,85420.8334245333
SAU,USA_LVG,13052.419629025911,air,88208.25185295711
AUS,BAH,12110.56892806403,air,81843.22481585672
AUS,SAU,12805.113322417928,air,86536.95583290036
AUS,JPN,8129.536788740332,air,54939.40961830716
AUS,CHN,8055.45029470097,air,54438.73309158915
AUS,MIA,15589.261516525903,air,105352.22932868206
AUS,MON,16419.776974033535,air,110964.85279051863
AUS,CAN,16735.96803112377,air,113101.67195433445
AUS,ESP,16826.73318069693,air,113715.06283514986
AUS,MAD,17310.655013190484,air,116985.4065791413
AUS,AUT,15874.697615722747,air,107281.20648705434
AUS,GBR,16944.410708196203,air,114510.32756598994
AUS,HUN,15544.966349205879,air,105052.88258793335
AUS,BEL,16512.48209443351,air,111591.35399418169
AUS,NED,16570.7096671379,air,111984.85593051794
AUS,MONZ,16286.140119179545,air,110061.73492541537
AUS,SIN,6063.796325843635,air,40979.13557005128
AUS,AZE,12988.320892740208,air,87775.07259313833
AUS,USA_COT,14283.693099824422,air,96529.19796861346
AUS,USA_LVG,13134.523578210032,air,88763.11034154339
AUS,MEX,13562.165630868962,air,91653.11533341245
AUS,BRA,13084.799256531482,air,88427.07337563975
