team_id,team_name,continent,country,city,airport_city,latitude,longitude
MER,Mercedes AMG F1,Europe,United Kingdom,Brackley,Birmingham,52.4796992,-1.9026911
RBR,Red Bull Racing,Europe,United Kingdom,Milton Keynes,London,51.5074456,-0.1277653
FER,Ferrari,Europe,Italy,Maranello,Bologna,44.4938203,11.3426327
MCL,McLaren,Europe,United Kingdom,Woking,London,51.5074456,-0.1277653
AMR,Aston Martin,Europe,United Kingdom,Silverstone,Birmingham,52.4796992,-1.9026911
WIL,Williams,Europe,United Kingdom,Grove,London,51.5074456,-0.1277653
ALP,Alpine,Europe,United Kingdom,Enstone,London,51.5074456,-0.1277653
SAU,Kick Sauber,Europe,Switzerland,Hinwil,Zurich,47.3744489,8.5410422
HAA,Haas F1 Team,Europe,United Kingdom,Banbury,London,51.5074456,-0.1277653
RB,RB (Visa Cash App RB),Europe,Italy,Faenza,Bologna,44.4938203,11.3426327
ALL,F1HQ,Europe,United Kingdom,London,London,51.5074456,-0.1277653
