circuit_id,circuit_name,continent,country,city
BAH,Bahrain International Circuit,Asia,Bahrain,Sakhir
SAU,Jeddah Corniche Circuit,Asia,Saudi Arabia,Jeddah
AUS,Albert Park Circuit,Australia,Australia,Melbourne
JPN,Suzuka International Racing Course,Asia,Japan,Suzuka
CHN,Shanghai International Circuit,Asia,China,Shanghai
MIA,Miami International Autodrome,N America,USA,Miami
MON,Circuit de Monaco,Europe,Monaco,Monte Carlo
CAN,Circuit Gilles Villeneuve,N America,Canada,Montreal
ESP,Circuit de Barcelona-Catalunya,Europe,Spain,Barcelona
MAD,Circuito de Madring,Europe,Spain,Madrid
AUT,Red Bull Ring,Europe,Austria,Spielberg
GBR,Silverstone Circuit,Europe,United Kingdom,Silverstone
HUN,Hungaroring,Europe,Hungary,Mogyorod
BEL,Circuit de Spa-Francorchamps,Europe,Belgium,Stavelot
NED,Circuit Zandvoort,Europe,Netherlands,Zandvoort
MONZ,Autodromo Nazionale di Monza,Europe,Italy,Monza
SIN,Marina Bay Street Circuit,Asia,Singapore,Singapore
AZE,Baku City Circuit,Asia,Azerbaijan,Baku
USA_COT,Circuit of the Americas,N America,USA,Austin
USA_LVG,Las Vegas Strip Circuit,N America,USA,Las Vegas
MEX,Autódromo Hermanos Rodríguez,N America,Mexico,Mexico City
BRA,Autódromo José Carlos Pace,S America,Brazil,São Paulo
QAT,Lusail International Circuit,Asia,Qatar,Lusail
ABD,Yas Marina Circuit,Asia,UAE,Abu Dhabi
