team_id,team_name,continent,country,city,airport_city
MER,Mercedes AMG F1,Europe,United Kingdom,Brackley,Birmingham
RBR,Red Bull Racing,Europe,United Kingdom,Milton Keynes,London
FER,Ferrari,Europe,Italy,Maranello,Bologna
MCL,McLaren,Europe,United Kingdom,Woking,London
AMR,Aston Martin,Europe,United Kingdom,Silverstone,Birmingham
WIL,Williams,Europe,United Kingdom,Grove,London
ALP,Alpine,Europe,United Kingdom,Enstone,London
SAU,Kick Sauber,Europe,Switzerland,Hinwil,Zurich
HAA,Haas F1 Team,Europe,United Kingdom,Banbury,London
RB,RB (Visa Cash App RB),Europe,Italy,Faenza,Bologna
ALL,F1HQ,Europe,United Kingdom,London,London
