,first_race_circuit,last_race_circuit,objective_value,model_status,solver_time
0,BAH,ABD,4735396.783891016,ModelStatus.OptimalGlobal,67.39699977915734
1,SAU,ABD,4691860.13815566,ModelStatus.OptimalGlobal,188.21299981791526
2,AUS,ABD,5116557.16273142,ModelStatus.OptimalGlobal,97.82499996945262
3,JPN,ABD,4675517.267774992,ModelStatus.OptimalGlobal,49.42500034812838
4,CHN,ABD,4708203.133184651,ModelStatus.OptimalGlobal,176.13200016785413
5,MIA,ABD,4691969.429289866,ModelStatus.Feasible,300.10399986058474
6,MON,ABD,4527363.7591663925,ModelStatus.Feasible,300.117999734357
7,CAN,ABD,724385.7813476112,ModelStatus.InfeasibleGlobal,6.037999712862074
8,ESP,ABD,4497991.076025059,ModelStatus.Feasible,300.1359996618703
9,MAD,ABD,4827470.00028437,ModelStatus.Feasible,300.09899963624775
10,AUT,ABD,363036.15324469644,ModelStatus.InfeasibleGlobal,5.720999697223306
11,GBR,ABD,357214.5556968536,ModelStatus.InfeasibleGlobal,7.386000221595168
12,HUN,ABD,4531517.834388619,ModelStatus.Feasible,300.1079999143258
13,BEL,ABD,358576.28465763683,ModelStatus.InfeasibleGlobal,6.706000515259802
14,NED,ABD,4502272.826899201,ModelStatus.Feasible,300.11600002180785
15,MONZ,ABD,4514800.647940978,ModelStatus.Feasible,300.1590004423633
16,SIN,ABD,4733894.608423403,ModelStatus.OptimalGlobal,230.5089997826144
17,AZE,ABD,4657162.231291912,ModelStatus.OptimalGlobal,111.70599991455674
18,USA_COT,ABD,4721032.560344749,ModelStatus.Feasible,300.1059995731339
19,USA_LVG,ABD,4698861.121482488,ModelStatus.Feasible,300.11600002180785
20,MEX,ABD,4754794.096542338,ModelStatus.Feasible,300.11000025551766
21,BRA,ABD,4733979.010905966,ModelStatus.OptimalGlobal,162.5600001309067
22,QAT,ABD,5092346.402575521,ModelStatus.Feasible,300.11000025551766
